id,title,author,publisher,year,isbn,cover_image_url,annotation
30000,Приусадебные постройки,,Диля,2005,5-88503-092-8,https://img4.labirint.ru/rc/a8fec2aa664d728959c2e46cb4ae4c7d/220x340/books3/30000/cover.jpg?1449718819,"Эта книга необходима тем, кто решил самостоятельно обустроить свой дачный участок. С ее помощью вы сможете не только самостоятельно построить баню, сауну и колодцы, но и соорудить самые различные Приусадебные постройки, грамотно распланировать участок и обустроить его, построив гараж, душевую и теплицы, украсить его беседками, бассейнами, клумбами и альпийскими горками."
30016,Александр Румянцев: Правильное питание при болезнях почек,Румянцев Александр Шаликович,Диля,2009,5-8174-0264-5,https://img4.labirint.ru/rc/4bf6f6ae9f27effadd665cf9e3b0fee4/220x340/books4/30016/cover.jpg?1563625536,"Если возникли проблемы с почками, конечно, это серьезно и надо обязательно обращаться к врачу. Но доктор наверняка не только назначит вам лекарства, но и заведет речь о необходимости соблюдения диеты, ведь Правильное питание при болезнях почек - залог их успешного лечения. В этой книге вы найдете ответы на все интересующие вас вопросы, касающиеся особенностей питания при почечных заболеваниях."
30025,Генрих Ужегов: Зона особого внимания: Биоритмы до 2005 года,Ужегов Генрих Николаевич,Диля,2003,5-8174-0324-2,https://img3.labirint.ru/rc/bc9cc3e0507f2f1522230da105be86a6/220x340/books4/30025/cover.jpg?1449718822,"Любой живой организм является независимой колебательной системой, которая характеризуется целым набором внутренних ритмов. Зная теорию биоритмов, можно определить границу между здоровьем и патологией. Из всего многообразия биоритмических процессов, протекающих в организме человека, наибольшее значение для него имеют три ритма: физический, интеллектуальный и эмоциональный. От рождения до смерти каждый из нас подвержен влиянию этих трех циклических процессов. Зная свои биоритмы, можно помочь своему организму адаптироваться во внешней среде и способствовать его выживаемости."
30035,Анастасия Артемова: Одуванчик  исцеляющий и омолаживающий,Артемова Анастасия,Диля,2002,5-8174-0277-7,https://img3.labirint.ru/rc/f936d01730357a1f7ea0afb0c03d17a7/220x340/books4/30035/cover.jpg,"Одуванчик - растение, доступное всем. Между тем, его свойства вовсе не заурядны. Народная медицина давно и заслуженно использует растение в своей практике. Причем, одуванчик - это и пища, которая лечит, и лекарство, которое питает. О разнообразных возможностях одуванчика в медицине, косметологии и кулинарии рассказывает эта книга."
30040,Генрих Ужегов: Зона особого внимания: Ревматизм (народные методы лечения),Ужегов Генрих Николаевич,Диля,2002,5-88503-074-x,https://img4.labirint.ru/rc/e1b8f988e1bdcd0c55b2727a5336aaf3/220x340/books4/30040/cover.jpg,"Ревматизм - это инфекционно-аллергическое заболевание, при котором поражается соединительная ткань, суставы, сердце. Ревматизмом чаще заболевают дети в возрасте 7-15 лет, а последствия незалеченного недуга проявляются на протяжении всей жизни, и зачастую в тяжелейшей форме. Как избежать этой болезни? Победить или облегчить страдания больных в запущенной стадии? В этом вам поможет данная книга."
30048,Александр Добронравов: Популярная нефрология. Болезни почек и мочевыводящих путей,Добронравов Александр,Диля,2003,5-8174-0314-5,https://img4.labirint.ru/rc/b16fe7474c1dbfb7eb831c4bf377d176/220x340/books4/30048/cover.jpg,"Болезни почек и мочевыводящих путей (пиелонефрит, гломерулонефрит, мочекаменная болезнь, цистит) нередко начинают беспокоить после перенесенных ОРЗ, ангины, при нарушениях обмена веществ. В таких случаях необходимо срочно принимать меры. Профессор Добронравов расскажет читателям, как можно облегчить свое состояние, как следует питаться, какой образ жизни нужно вести. Эта книга поможет вам сориентироваться во множестве диагностических и лечебных методик и врачебных рекомендаций."
30053,Анастасия Артемова: Фрукты исцеляющие и омолаживающие,Артемова Анастасия,Диля,2000,5-8174-0127-4,https://img3.labirint.ru/rc/403d2b26d0a9bedfb3847333ccdfb573/220x340/books4/30053/cover.jpg,
30061,"Корсун, Викторов: Можжевельник исцеляющий и омолаживающий",Корсун В. Ф.,Диля,2001,5-8174-0183-5,https://img3.labirint.ru/rc/902b3c03e6e7d83ce1f7bebae7253876/220x340/books4/30061/cover.jpg,"Авторы в научно-популярной форме рассказывают о можжевельнике - дикорастущем кустарнике, обладающем удивительными лечебными и диетическими свойствами. Целебному эффекту можжевельника обязаны многие больные, подружившиеся с этим вечнозеленым кустарником, появившимся на Земле задолго до человека. Книга рассчитана на широкий круг читателей и медицинских работников, интересующихся вопросами фитотерапии и фитодиетологии."
30068,Налоговый кодекс РФ от 24 июля 2002 года,,Диля,2003,5-88503-107-X,https://img4.labirint.ru/rc/d29d6c69c28ec9222ad1a5b153fcc506/220x340/books4/30068/cover.jpg,
30071,Анатолий Маловичко: Очищение органов дыхания,Маловичко Анатолий Васильевич,Диля,2004,5-8174-0285-8,https://img3.labirint.ru/rc/7879d7e914a4dd263daf5ea3c69fac51/220x340/books4/30071/cover.jpg,
